s;F;;s;F;;s;F;;s;F
12,19822043;89,06381989;;12,17906603;93,5196991;;12,42224467;80,28044891;;12,17677859;92,46476746
12,18821066;89,75180817;;12,16905626;94,20524597;;12,41224253;80,86443329;;12,16676882;93,17033386
12,17819327;90,43881989;;12,15806993;94,96159363;;12,40126383;81,50774384;;12,15579775;93,97013855
12,16817587;91,12729645;;12,14708361;95,73014832;;12,39026987;82,15642548;;12,14480379;94,76994324
12,15719717;91,88706207;;12,13610491;96,50993347;;12,38026011;82,75554657;;12,1338251;95,56828308
12,14621085;92,65317535;;12,12513384;97,29069519;;12,36927378;83,41790009;;12,1228464;96,37492371
12,13522452;93,42758942;;12,11512407;98,01579285;;12,35829508;84,08538055;;12,11283663;97,11076355
12,12426108;94,20590973;;12,10512194;98,74577332;;12,34730112;84,76384735;;12,10282687;97,8490448
12,11425894;94,91684723;;12,09412035;99,54508972;;12,33630717;85,45134735;;12,09282473;98,59318542
12,10424918;95,63706207;;12,08411821;100,2565155;;12,32628977;86,08245087;;12,08282259;99,34660339
12,09325522;96,4383316;;12,07312426;101,0529022;;12,31626475;86,70671844;;12,07182864;100,1727753
12,08325308;97,17124176;;12,06312212;101,7902069;;12,30624735;87,33879852;;12,0618265;100,937912
12,07225912;97,9852066;;12,05311235;102,5372772;;12,29525339;88,04094696;;12,05181673;101,7108612
12,06225699;98,73325348;;12,04309496;103,2970428;;12,28426707;88,74211884;;12,04180697;102,4891815
12,05224722;99,49546051;;12,03211626;104,1520233;;12,27426493;89,3861618;;12,03082064;103,3485565
12,04222983;100,2435074;;12,02114519;105,0167694;;12,2632786;90,11956024;;12,01984194;104,231369
12,0312435;101,065773;;12,01015696;105,8899612;;12,25228464;90,84856415;;12,00884798;105,1244354
12,02027243;101,9031754;;11,99917063;106,7678909;;12,24129069;91,58000946;;11,99785403;106,0106659
12,0092861;102,7625504;;11,98916849;107,5686722;;12,23031199;92,32952118;;11,98785189;106,8300018
11,99829977;103,6116714;;11,97914347;108,3865433;;12,2193104;93,07805634;;11,97784212;107,66008
11,98829001;104,4070816;;11,96914133;109,210762;;12,20930064;93,76604462;;11,96684817;108,5673065
11,97827261;105,2225113;;11,95913919;110,0452347;;12,19929087;94,45842743;;11,95684603;109,3934784
11,96827048;106,0394058;;11,94912943;110,8884964;;12,18928373;95,16408539;;11,94684389;110,2425995
11,95826834;106,8514175;;11,93911966;111,7459183;;12,17927396;95,87160492;;11,93683413;111,1034393
11,94825858;107,6814957;;11,92812571;112,6926956;;12,1692642;96,58937836;;11,92682436;111,9628143
11,93825644;108,5208511;;11,91812357;113,5550003;;12,1582855;97,36818695;;11,91583041;112,9203339
11,92824667;109,3558121;;11,90713724;114,5056839;;12,14729917;98,16652679;;11,90485171;113,8827362
11,91725272;110,2869644;;11,89616617;115,4651566;;12,1363281;98,96974945;;11,89388827;114,856369
11,90626639;111,2317886;;11,88517221;116,445137;;12,12535703;99,77639008;;11,88388613;115,7611542
11,89530295;112,178566;;11,87517008;117,3264847;;12,11534726;100,5107651;;11,87388399;116,6678925
11,88430899;113,1526871;;11,86418375;118,3084183;;12,1053375;101,2583237;;11,86289767;117,6849823
